id,prefecture_id,name,yomi,
113,1,島牧郡島牧村,シママキグンシママキムラ,113
114,1,紋別郡雄武町,モンベツグンオウムチョウ,114
115,1,岩内郡岩内町,イワナイグンイワナイチョウ,115
116,1,北斗市,ホクトシ,116
117,1,白老郡白老町,シラオイグンシラオイチョウ,117
118,1,美唄市,ビバイシ,118
119,1,紋別郡西興部村,モンベツグンニシオコッペムラ,119
120,1,札幌市白石区,サッポロシシロイシク,120
121,1,虻田郡豊浦町,アブタグントヨウラチョウ,121
122,1,足寄郡陸別町,アショログンリクベツチョウ,122
123,1,河東郡上士幌町,カトウグンカミシホロチョウ,123
124,1,雨竜郡北竜町,ウリュウグンホクリュウチョウ,124
125,1,名寄市,ナヨロシ,125
126,1,寿都郡寿都町,スッツグンスッツチョウ,126
127,1,国後郡泊村,クナシリグントマリソン,127
128,1,伊達市,ダテシ,128
129,1,礼文郡礼文町,レブングンレブンチョウ,129
130,1,標津郡中標津町,シベツグンナカシベツチョウ,130
131,1,岩見沢市,イワミザワシ,131
132,1,磯谷郡蘭越町,イソヤグンランコシチョウ,132
133,1,上川郡比布町,カミカワグンピップチョウ,133
134,1,雨竜郡幌加内町,ウリュウグンホロカナイチョウ,134
135,1,様似郡様似町,サマニグンサマニチョウ,135
136,1,日高郡新ひだか町,ヒダカグンシンヒダカチョウ,136
137,1,紋別郡湧別町,モンベツグンユウベツチョウ,137
138,1,広尾郡大樹町,ヒロオグンタイキチョウ,138
139,1,天塩郡豊富町,テシオグントヨトミチョウ,139
140,1,釧路郡釧路町,クシログンクシロチョウ,140
141,1,河東郡鹿追町,カトウグンシカオイチョウ,141
142,1,上川郡清水町,カミカワグンシミズチョウ,142
143,1,石狩郡当別町,イシカリグントウベツチョウ,143
144,1,夕張市,ユウバリシ,144
145,1,枝幸郡浜頓別町,エサシグンハマトンベツチョウ,145
146,1,石狩郡新篠津村,イシカリグンシンシノツムラ,146
147,1,苫前郡初山別村,トママエグンショサンベツムラ,147
148,1,空知郡中富良野町,ソラチグンナカフラノチョウ,148
149,1,幌泉郡えりも町,ホロイズミグンエリモチョウ,149
150,1,北広島市,キタヒロシマシ,150
151,1,斜里郡清里町,シャリグンキヨサトチョウ,151
152,1,根室市,ネムロシ,152
153,1,千歳市,チトセシ,153
154,1,石狩市,イシカリシ,154
155,1,芦別市,アシベツシ,155
156,1,虻田郡ニセコ町,アブタグンニセコチョウ,156
157,1,雨竜郡雨竜町,ウリュウグンウリュウチョウ,157
158,1,旭川市,アサヒカワシ,158
159,1,勇払郡安平町,ユウフツグンアビラチョウ,159
160,1,赤平市,アカビラシ,160
161,1,古宇郡神恵内村,フルウグンカモエナイムラ,161
162,1,河西郡芽室町,カサイグンメムロチョウ,162
163,1,夕張郡栗山町,ユウバリグンクリヤマチョウ,163
164,1,紋別郡興部町,モンベツグンオコッペチョウ,164
